ack,androidID,appName,atHome,currAct,delayTimeInSeconds,goal_alignment,interventionType,kss,pid,rshci1,rshci2,rshci3,rshci4,rshci5,sam,satisfaction,sense_of_agency,sideActivity,situation,stress,timestamp,useful_in_situation
true,8229d0add522e5bf,,true,-3,0,6,Vibration,1,6760eb1bd8f2c26a870800b6,4,4,2,2,4,5,6,1,Yes,alone,0,Mar 21 12:34:18,6
true,68f8d3ccbccaa9b6,Instagram,true,-1,2,7,Vibration,6,Luca-Maxim Meinhardt,4,4,4,4,4,2,6,4,No,alone,6,Apr 8 02:12:47,6
false,0620cdef0ecd0e8d,,true,0,0,7,Pop-Up,1,6151e69a392433707e7a9dfb,5,5,5,5,5,5,7,7,Yes,alone,0,Mar 26 00:35:16,7
true,c97dd3a8e09974b1,TikTok,true,-2,18,6,Vibration,8,62da5ffdd666bd90db19b4e9,2,2,2,2,4,5,7,4,No,alone,4,Feb 25 13:55:21,7
true,4c7d4983df0824f3,Facebook,true,-3,168,7,Vibration,7,67b01f249acb8dfd481591e2,5,5,3,4,4,5,6,6,No,alone,0,Apr 4 00:06:05,6
true,2c01d3880e4f8c4e,Instagram,true,-2,3548,5,Pop-Up,4,660b46f30e0078173c658320,5,5,5,3,3,3,4,4,Yes,alone,0,Mar 19 10:52:50,5
true,c24bf61f11f75646,Facebook,true,-3,495,1,Pop-Up,6,62fc25ef4ce0d3d169b7a120,5,5,5,5,5,4,1,7,Yes,alone,5,Feb 20 07:02:56,1
true,1c978d5449159b70,Instagram,true,0,9,4,Vibration,5,67a3c5e78c483a6d93114bb5,4,4,4,4,4,3,4,4,Yes,alone,1,Apr 2 06:40:09,4
true,3219a95a52ce3a57,TikTok,true,-2,7,7,Vibration,8,5ef39c45c154ff120c5e84b8,3,3,3,3,3,4,7,7,No,alone,2,Mar 14 07:21:42,7
true,ea4a3cb381a8a56b,TikTok,true,-3,24,1,SpotOverlay,3,5e53e8d0a0002e3ee42be086,5,5,5,5,5,2,1,1,Yes,friends,7,Mar 25 04:33:16,1
true,c97dd3a8e09974b1,Instagram,true,1,17,4,Vibration,9,62da5ffdd666bd90db19b4e9,4,4,4,4,4,4,3,5,No,friends,1,Mar 1 23:34:09,3
true,84d578de49e75bcc,Facebook,true,-3,63,5,SpotOverlay,8,5a6d5ae19d65ec00017e9bae,4,4,4,4,4,3,3,4,No,alone,0,Mar 20 22:52:46,5
true,1c978d5449159b70,,true,0,0,4,Pop-Up,3,67a3c5e78c483a6d93114bb5,5,5,5,3,3,4,4,4,Yes,alone,0,Apr 8 06:57:00,4
true,52c8f1970ce1f7ac,,true,0,24,1,Vibration,9,663a8c84b8e7c046d854c8dd,5,5,5,5,5,1,1,1,No,friends,7,Mar 16 23:52:41,1
true,68f8d3ccbccaa9b6,Instagram,false,1,64,6,SpotOverlay,7,Luca-Maxim Meinhardt,4,4,4,4,4,3,5,4,Yes,alone,7,Mar 27 22:19:32,5
true,049c7178003e369c,YouTube,true,-3,153,1,Vibration,3,678ce1ebd56c85701ebce209,5,5,5,5,5,1,1,1,No,alone,6,Mar 24 17:39:14,1
true,049c7178003e369c,Instagram,true,-3,141,2,SpotOverlay,9,678ce1ebd56c85701ebce209,4,4,4,4,4,2,1,1,Yes,alone,2,Mar 22 07:25:32,7
true,2c01d3880e4f8c4e,Instagram,true,-3,132,6,SpotOverlay,4,660b46f30e0078173c658320,3,4,4,2,3,3,3,1,No,alone,1,Mar 14 03:10:40,5
true,f4ff9d496a136e10,Instagram,true,-3,28,4,Pop-Up,5,5edeea354d54cb1a825aa8f9,4,4,4,4,4,3,4,3,Yes,friends,3,Feb 23 07:01:40,3
true,c24b8cfdc4eab9a8,,true,-3,36,1,Pop-Up,8,5b68c9eb87af310001584803,5,5,5,5,5,4,1,1,No,alone,0,Mar 9 04:43:43,1
true,b1184b7c3d753479,Instagram,true,-3,7,6,Pop-Up,3,5cc020d5159f790017bee28b,4,4,3,2,4,3,4,5,Yes,alone,7,Mar 24 15:38:07,7
true,b2cae1de2f5e3d4f,Instagram,true,0,0,5,Pop-Up,6,67768cb5c78ca6942d258211,4,4,3,3,4,3,4,7,No,alone,4,Feb 25 11:46:59,6
true,f9889e2e24552c95,,true,3,2,1,SpotOverlay,2,5dc0e5d927d0520845f47856,5,5,5,5,5,2,1,3,Yes,alone,3,Apr 5 12:38:11,1
true,241691210d262550,Instagram,true,-3,39,3,SpotOverlay,4,59900f959d487e0001ac3a8e,4,4,4,4,4,4,4,4,No,friends,0,Mar 26 07:00:44,3
true,df439157e98b4b63,TikTok,true,-3,161,7,Vibration,1,66ce36b5ec965c47b1884230,5,5,5,5,5,5,7,7,No,alone,0,Apr 5 23:37:20,7
true,dccc335ee828b784,Facebook,true,2,12,5,Vibration,5,6736aaf79268c6121b012a63,4,4,4,4,4,4,5,5,No,alone,2,Feb 26 18:22:13,5
true,f150caba3cf5c49b,,false,2,2,6,Vibration,4,5d5407dc922257000153657f,3,3,2,2,4,2,4,4,Yes,alone,4,Feb 27 08:33:11,7
true,58a08647f0320b10,YouTube,true,-3,27,3,Vibration,5,65ec84d7abc1df34e678abe1,5,4,4,4,3,4,4,5,No,alone,1,Mar 4 02:23:57,5
true,5069d714c34fe3dd,,true,2,0,3,Pop-Up,1,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,6,Yes,alone,0,Mar 19 07:24:19,3
true,e2e491f49b6f9798,,true,-3,2,5,SpotOverlay,2,5ad3bfc75b53cb0001f35839,5,5,5,4,5,5,4,7,No,alone,1,Apr 8 11:47:37,3
true,cdc8c1f09a2ed560,TikTok,true,-1,24,3,SpotOverlay,7,674fd5c48fbde512501db186,4,4,4,4,4,3,3,6,No,friends,3,Mar 21 19:01:56,3
true,0a0ee3d496d2cb0a,TikTok,true,-2,817,3,Vibration,7,6283e5cee0833a2307ddeb0f,4,4,4,4,4,3,3,3,No,alone,2,Mar 1 01:10:50,4
true,1c978d5449159b70,YouTube,true,0,149,3,SpotOverlay,6,67a3c5e78c483a6d93114bb5,5,5,5,3,2,4,1,3,No,alone,1,Apr 4 18:15:02,6
true,5069d714c34fe3dd,,true,1,0,4,SpotOverlay,1,56d7623f04c67d000c7b9de6,4,4,4,4,4,5,4,7,Yes,friends,0,Mar 24 08:12:02,3
true,bf6bad829e2d24de,Facebook,true,-3,44,4,Vibration,6,6658b1babc17230af657c303,4,4,3,4,4,3,4,4,No,friends,0,Mar 9 23:17:30,4
true,3219a95a52ce3a57,TikTok,true,2,541,7,Vibration,6,5ef39c45c154ff120c5e84b8,4,3,3,3,3,5,7,7,Yes,alone,3,Mar 10 19:30:31,7
true,e2e491f49b6f9798,YouTube,true,-3,837,4,SpotOverlay,7,5ad3bfc75b53cb0001f35839,5,4,5,4,4,4,5,7,No,alone,4,Apr 5 21:36:18,3
true,afd5b35c5b27f878,,true,-2,32,4,SpotOverlay,4,5dea9fb3cb53ca1cda9f6116,4,5,5,4,4,3,4,4,Yes,alone,1,Apr 6 15:11:11,5
true,1c978d5449159b70,YouTube,true,0,8,4,SpotOverlay,5,67a3c5e78c483a6d93114bb5,5,5,5,5,5,3,4,4,Yes,alone,0,Apr 5 11:19:48,4
true,1c978d5449159b70,,true,0,1162,4,SpotOverlay,3,67a3c5e78c483a6d93114bb5,5,5,5,3,3,3,4,4,Yes,alone,1,Mar 21 08:30:29,4
true,d1bae55f60e92b62,TikTok,true,0,226,1,Vibration,1,655f8d942652c2e7defdb816,5,5,5,5,5,2,1,7,No,alone,3,Apr 1 14:36:21,1
true,ac2d2d9a8eeb5c7b,TikTok,false,3,1016,7,Pop-Up,9,67646659b6ab85cd552decf1,5,5,5,5,5,5,7,7,No,friends,10,Mar 5 10:12:36,7
true,0620cdef0ecd0e8d,,true,0,6,7,Pop-Up,5,6151e69a392433707e7a9dfb,5,5,5,5,5,5,7,7,Yes,alone,0,Apr 4 22:13:22,7
true,00d791c49668d482,Facebook,true,-3,6,1,Vibration,1,6772c5ec9aa61cab9a3cd8c6,5,5,5,5,5,1,1,1,Yes,alone,10,Apr 4 12:02:24,1
true,674ba0d42e763f83,TikTok,true,-3,25,4,SpotOverlay,8,676071994f8552a8e0398a21,2,2,3,2,4,1,3,5,No,alone,7,Mar 2 18:21:15,7
true,1c978d5449159b70,Instagram,true,0,61,4,Vibration,5,67a3c5e78c483a6d93114bb5,5,5,5,5,5,4,4,4,Yes,alone,0,Apr 5 14:08:38,4
true,de803325c3c1885a,,true,-3,276,1,Pop-Up,2,,5,5,5,5,5,3,1,4,No,alone,1,Mar 9 21:55:08,1
true,6ac766ec0787d32b,,true,-1,57,6,Vibration,6,63d1957ba19644f6c749c001,3,5,4,2,3,4,4,2,Yes,alone,2,Mar 14 10:24:42,7
true,fc9a6b44b4eeb6fd,Facebook,true,-2,1,4,Vibration,8,62d159b0e1b591ec1e8e27c8,2,2,2,2,2,3,4,5,No,friends,4,Mar 16 23:34:51,3
true,df439157e98b4b63,Facebook,true,-2,75,5,Pop-Up,8,66ce36b5ec965c47b1884230,5,5,5,5,5,4,5,7,No,alone,6,Mar 13 06:50:26,6
true,a15ce124f80f1edd,,true,0,14,1,Pop-Up,8,66c5fd9cd88ff2690f682cec,5,5,5,5,5,1,1,1,Yes,alone,4,Mar 10 12:53:39,1
true,8229d0add522e5bf,,true,-3,16,6,Vibration,1,6760eb1bd8f2c26a870800b6,4,4,4,4,4,4,6,6,No,alone,0,Apr 3 23:20:30,6
true,5073def25f18b254,,false,-1,45,6,Pop-Up,4,5fe18e1c8929f0c2a41e43d8,4,4,4,4,4,4,3,6,Yes,alone,0,Apr 5 00:45:20,3
true,0973376f433ebd68,Facebook,true,1,138,3,SpotOverlay,9,63d7d315ebf6c98c92c2a7a1,4,4,2,2,2,3,2,2,No,alone,3,Apr 4 03:55:14,6
true,3219a95a52ce3a57,TikTok,true,-3,4,7,Pop-Up,9,5ef39c45c154ff120c5e84b8,3,3,3,3,3,3,7,7,No,alone,0,Mar 15 06:06:31,7
true,d55410e332005411,YouTube,true,-3,11,2,Pop-Up,2,6416533bd4ee6639c3df6040,5,5,4,4,4,4,2,6,Yes,alone,0,Mar 10 09:36:09,1
true,ec4eb3b8988e5dfd,,true,-2,1,2,SpotOverlay,2,62fd14d7b1e0729dc8aadb79,5,4,3,3,4,2,4,3,Yes,alone,6,Feb 23 21:50:49,5
true,ec4eb3b8988e5dfd,YouTube,true,-3,1071,5,Vibration,5,62fd14d7b1e0729dc8aadb79,4,4,3,4,4,3,3,3,No,alone,5,Feb 23 23:52:24,4
true,ad17efec2eb80923,TikTok,true,-3,20,1,Pop-Up,5,6659e2efdb732dbd7f707a98,4,5,5,5,5,2,1,2,No,alone,5,Mar 5 05:13:38,1
true,ac18dc2eff203d35,Instagram,true,-3,7,5,Pop-Up,7,5ac60fe2a3ba7a0001b4ae6d,5,5,5,4,4,5,7,7,No,alone,0,Mar 14 23:24:55,6
true,3219a95a52ce3a57,TikTok,true,1,11,7,Vibration,9,5ef39c45c154ff120c5e84b8,3,3,3,3,3,4,7,7,No,alone,5,Mar 13 03:02:26,7
true,e2a5a2b88607aafa,,true,-3,40,4,SpotOverlay,4,660ff598a3391e9b7d8feab4,3,3,3,3,4,4,4,4,Yes,alone,2,Mar 25 04:54:35,5
true,fa0f6cefd27f5c39,Instagram,true,-3,13,4,Pop-Up,7,5fd2a27758c6df09223dd4b3,5,5,5,5,5,4,2,7,No,alone,3,Feb 26 00:25:56,4
true,2c01d3880e4f8c4e,Instagram,true,-3,48,5,Vibration,3,660b46f30e0078173c658320,4,4,4,2,3,3,3,3,No,alone,2,Mar 13 03:53:55,5
true,de30a2e1923a66b4,Instagram,true,-1,2079,3,Vibration,3,66f69dcc061074dacb886b52,4,4,4,4,4,3,3,3,Yes,friends,4,Mar 2 12:57:15,4
true,ec4eb3b8988e5dfd,InfiniteScape,true,-2,0,2,Vibration,5,62fd14d7b1e0729dc8aadb79,4,4,2,4,4,2,4,3,Yes,alone,3,Feb 24 00:12:12,3
false,df439157e98b4b63,TikTok,true,-3,64,7,Pop-Up,2,66ce36b5ec965c47b1884230,5,5,5,5,5,5,7,7,No,alone,2,Apr 1 01:32:37,7
true,84d578de49e75bcc,Facebook,true,-2,19,7,SpotOverlay,2,5a6d5ae19d65ec00017e9bae,4,4,4,4,4,4,5,3,Yes,friends,0,Mar 25 18:45:50,7
true,e57ed49de6df5f30,,true,-2,31,5,SpotOverlay,7,595a52b2e05ca8000133f5d0,3,3,2,2,2,2,5,2,No,alone,6,Mar 2 22:41:23,6
true,1c978d5449159b70,,true,0,2,4,Vibration,1,67a3c5e78c483a6d93114bb5,5,5,5,3,3,4,4,4,Yes,alone,0,Apr 8 08:14:10,4
true,4e41889bd399a868,Facebook,true,-3,6,6,Pop-Up,3,,3,4,3,4,4,4,6,5,Yes,friends,0,Feb 26 19:33:52,6
true,5069d714c34fe3dd,,true,-3,16,4,SpotOverlay,3,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,4,Yes,friends,0,Mar 23 12:48:25,3
true,dbc2a036a5ebc12a,,true,-3,11,5,Pop-Up,7,60c029faa1d9b671a584f3ca,4,3,3,3,4,4,6,6,No,alone,0,Mar 23 21:37:57,5
true,0973376f433ebd68,Facebook,false,3,134,4,SpotOverlay,1,63d7d315ebf6c98c92c2a7a1,4,4,2,2,2,5,3,3,Yes,friends,1,Apr 3 18:25:51,5
true,1c978d5449159b70,Instagram,true,0,133,4,SpotOverlay,6,67a3c5e78c483a6d93114bb5,5,5,5,3,3,3,4,4,Yes,alone,6,Mar 26 21:15:45,4
true,3425fed235e786de,,false,-3,57,5,SpotOverlay,3,6723b24542d9de1e1f65b9e4,4,4,4,3,5,2,3,2,No,alone,2,Mar 16 19:45:30,3
true,4c7d4983df0824f3,Facebook,true,-2,15,6,Pop-Up,7,67b01f249acb8dfd481591e2,4,4,3,3,4,5,6,6,Yes,alone,2,Apr 1 23:59:39,6
true,b1184b7c3d753479,Facebook,true,1,156,2,Vibration,2,5cc020d5159f790017bee28b,5,5,5,2,4,2,2,1,Yes,alone,9,Apr 5 12:10:00,2
true,68f8d3ccbccaa9b6,YouTube,true,1,140,6,SpotOverlay,6,Luca-Maxim Meinhardt,3,4,2,3,4,2,6,4,No,alone,6,Mar 29 17:18:38,7
true,d1bae55f60e92b62,TikTok,true,0,161,4,Pop-Up,2,655f8d942652c2e7defdb816,4,4,4,4,4,2,4,7,Yes,friends,7,Mar 29 20:04:06,4
true,00d791c49668d482,,true,-3,12,1,Vibration,3,6772c5ec9aa61cab9a3cd8c6,5,5,5,5,5,1,1,1,No,alone,7,Apr 3 17:36:06,1
true,241691210d262550,Instagram,false,2,73,4,SpotOverlay,6,59900f959d487e0001ac3a8e,3,4,4,4,4,4,3,4,No,alone,0,Mar 21 14:04:22,3
true,59a4b2549708959a,,true,-2,539,5,Pop-Up,3,6761944486ce83768479f637,3,4,3,4,4,4,5,3,No,friends,6,Mar 13 11:22:58,5
true,4b365e47e14a2998,,true,-1,9,4,Vibration,4,663299ea88551960f4132bb7,4,4,4,2,4,5,7,7,No,alone,0,Apr 2 20:58:11,6
true,12d2ce846dc9e7c9,,true,3,29,2,Vibration,5,5ec45929c1172f33f0a9d331,5,5,5,5,5,1,3,7,Yes,friends,0,Mar 28 17:58:26,1
true,56c23ab894f6c1bc,,true,3,2,5,SpotOverlay,6,679a0366c8793f4845badfd6,3,2,2,4,3,4,5,3,Yes,alone,2,Mar 1 20:34:57,6
true,0620cdef0ecd0e8d,,true,0,0,7,Pop-Up,5,6151e69a392433707e7a9dfb,5,5,5,5,5,5,7,7,Yes,alone,5,Mar 29 16:19:29,7
true,0620cdef0ecd0e8d,,true,0,71,7,Vibration,5,6151e69a392433707e7a9dfb,5,5,5,5,5,3,7,7,Yes,alone,0,Mar 29 03:48:57,7
true,c97dd3a8e09974b1,TikTok,true,-3,192,5,SpotOverlay,8,62da5ffdd666bd90db19b4e9,4,4,4,4,4,3,5,4,No,friends,3,Feb 28 00:00:50,6
false,591f9da448f15579,Instagram,true,-3,18,5,Vibration,7,627e79a6e1f2b10601861ca6,4,4,3,4,3,3,5,5,No,alone,7,Feb 24 09:05:40,6
true,4da3f1f4b8abfd40,TikTok,true,-1,59,2,Pop-Up,5,5ff61f4fe313fd16fbeb5af6,5,5,5,5,5,5,1,7,No,alone,0,Mar 19 13:55:45,1
true,1c978d5449159b70,YouTube,true,0,247,4,SpotOverlay,1,67a3c5e78c483a6d93114bb5,5,5,4,3,3,4,4,4,Yes,alone,0,Mar 22 10:22:29,4
true,f7e8cd99fdc08f02,,true,-3,0,6,SpotOverlay,7,67366fdf3695cee0c68c6339,5,5,5,5,5,2,4,7,No,alone,7,Mar 2 04:53:31,5
true,d55410e332005411,Instagram,false,-2,69,1,SpotOverlay,6,6416533bd4ee6639c3df6040,5,5,5,5,5,5,1,6,Yes,friends,0,Mar 19 22:43:44,5
true,d1bae55f60e92b62,,true,0,36,3,SpotOverlay,2,655f8d942652c2e7defdb816,4,4,4,4,4,3,2,2,Yes,friends,1,Mar 30 11:58:23,3
true,68f8d3ccbccaa9b6,Instagram,true,-1,3,6,Pop-Up,6,Luca-Maxim Meinhardt,4,4,4,3,4,3,5,4,No,alone,5,Apr 1 23:27:02,6
true,d1bae55f60e92b62,TikTok,true,0,54,7,SpotOverlay,8,655f8d942652c2e7defdb816,5,5,5,5,5,3,7,7,No,alone,1,Apr 2 08:58:31,7
true,52c8f1970ce1f7ac,Facebook,true,-3,12,3,Vibration,8,663a8c84b8e7c046d854c8dd,4,5,5,5,4,4,3,4,No,friends,4,Mar 17 23:57:57,1
true,f7e8cd99fdc08f02,,false,2,0,2,SpotOverlay,5,67366fdf3695cee0c68c6339,5,5,5,4,5,3,2,6,Yes,friends,9,Feb 26 11:55:41,1
true,cebc7f9bb01deaa2,TikTok,true,-2,3,2,Pop-Up,2,648746670a6ffb0022fdb933,4,4,4,4,4,4,2,6,Yes,alone,1,Apr 4 20:20:22,2
true,c24b8cfdc4eab9a8,YouTube,true,-3,7,1,Vibration,9,5b68c9eb87af310001584803,5,5,5,5,5,2,2,2,No,alone,0,Mar 9 05:44:42,2
true,4c7d4983df0824f3,Facebook,true,-1,1549,6,Pop-Up,7,67b01f249acb8dfd481591e2,2,2,3,3,4,4,4,4,No,alone,3,Mar 28 17:04:02,7
true,ac18dc2eff203d35,Instagram,true,-3,10,5,Pop-Up,8,5ac60fe2a3ba7a0001b4ae6d,5,3,5,1,1,3,1,1,No,alone,0,Mar 12 00:44:20,7
true,e2e491f49b6f9798,,true,-2,141,3,Pop-Up,4,5ad3bfc75b53cb0001f35839,4,4,4,4,4,4,5,6,No,alone,3,Apr 8 08:09:42,3
true,78222f704dd138b3,YouTube,true,-3,29,5,Vibration,3,673e1365dd4456c908190114,4,4,4,4,5,3,4,6,No,alone,3,Mar 4 21:46:17,3
true,d14501493b9216f2,YouTube,true,-1,5,6,Pop-Up,8,67df5cb767ae66f6f41019d3,3,3,2,2,2,5,6,5,No,alone,0,Apr 2 00:50:27,7
true,1c978d5449159b70,YouTube,true,0,783,4,SpotOverlay,6,67a3c5e78c483a6d93114bb5,4,4,3,3,3,3,4,4,No,alone,0,Mar 17 19:46:26,4
true,ef9402a338124f55,TikTok,true,-3,108,4,SpotOverlay,4,6762aff824e4f12278e6d3fd,4,4,4,3,4,4,4,5,No,friends,2,Mar 15 23:31:53,4
true,1e3928489c89f0a2,TikTok,true,-3,0,4,Vibration,1,6709d766da2307f9438df9ee,4,5,5,4,5,3,3,6,Yes,friends,0,Mar 2 13:40:29,3
true,f2662f9dcc80d783,,true,-3,1,2,SpotOverlay,1,67929fedf3f6f88cbbb925ab,4,4,4,2,4,3,2,2,No,alone,0,Mar 20 13:59:40,2
true,1c978d5449159b70,,false,0,9,4,Pop-Up,8,67a3c5e78c483a6d93114bb5,5,5,5,5,3,3,4,4,Yes,alone,1,Mar 22 21:58:16,4
true,84d578de49e75bcc,Facebook,true,-3,60,5,Vibration,7,5a6d5ae19d65ec00017e9bae,5,4,4,4,4,3,5,3,No,alone,0,Apr 6 05:58:00,4
true,f4ff9d496a136e10,YouTube,true,-2,590,4,Vibration,6,5edeea354d54cb1a825aa8f9,3,3,3,3,3,3,4,4,No,alone,5,Feb 24 03:57:24,5
true,1a73c3bebd058a06,YouTube,true,-2,0,4,Vibration,3,65bfb574e58552a0a8fc639d,3,3,3,3,3,4,5,5,Yes,alone,4,Feb 28 16:51:31,4
true,82582872e31593f2,,true,-1,43,5,SpotOverlay,3,5c49484a6d9ae80001a1aa72,3,2,2,2,3,2,4,3,No,alone,4,Apr 6 14:05:10,5
true,c97dd3a8e09974b1,TikTok,true,-3,3,6,Pop-Up,8,62da5ffdd666bd90db19b4e9,4,4,3,2,4,4,6,3,No,friends,4,Feb 27 23:41:36,7
true,54f4b923d662017c,Facebook,true,-3,8,6,Vibration,5,661db80bbbbc4861da7f75dd,4,4,4,4,4,4,4,7,No,friends,1,Mar 29 21:51:30,5
true,de30a2e1923a66b4,,false,2,2,5,Pop-Up,4,66f69dcc061074dacb886b52,4,4,4,4,4,3,5,5,Yes,friends,6,Mar 3 18:41:46,5
true,df439157e98b4b63,YouTube,true,-3,27,6,Vibration,1,66ce36b5ec965c47b1884230,5,5,5,5,5,5,7,7,No,alone,2,Apr 5 13:07:40,7
true,c24bf61f11f75646,TikTok,true,-3,66,1,Vibration,7,62fc25ef4ce0d3d169b7a120,5,5,5,3,4,5,1,3,No,alone,0,Feb 21 04:53:17,1
true,5069d714c34fe3dd,,true,-3,0,4,SpotOverlay,7,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,6,Yes,alone,0,Mar 24 19:45:05,4
true,3723794c47330640,,true,-3,0,2,Pop-Up,7,60fce0fcf9abe7218c789734,5,5,5,1,2,1,1,1,No,friends,2,Apr 4 23:53:12,1
true,10dadd85094f52d8,Instagram,true,-3,57,5,Vibration,3,665a081994dc662744486887,4,5,4,3,4,3,4,4,No,alone,7,Mar 20 04:03:47,5
true,df439157e98b4b63,TikTok,true,-3,148,7,SpotOverlay,3,66ce36b5ec965c47b1884230,5,5,5,5,5,5,7,7,No,alone,2,Apr 5 23:55:30,7
true,38ecabba4e13f933,YouTube,false,-2,4,4,Pop-Up,6,62df0a2b7302265dcb0b7c58,4,4,4,4,4,3,3,3,No,alone,1,Mar 3 11:21:45,6
true,1c978d5449159b70,YouTube,true,0,99,4,SpotOverlay,3,67a3c5e78c483a6d93114bb5,5,5,5,3,3,4,4,4,Yes,alone,0,Apr 4 17:55:27,4
true,f1cd1519b255570d,,true,-3,4,7,Pop-Up,6,5c328af23f5d210001834f82,5,5,5,4,5,5,7,7,Yes,alone,4,Apr 7 21:34:23,7
true,54f4b923d662017c,TikTok,true,-1,151,5,SpotOverlay,6,661db80bbbbc4861da7f75dd,3,3,2,3,4,4,4,3,No,alone,0,Apr 6 00:19:16,5
true,6bfa869b2d919521,Facebook,true,-3,88,3,Pop-Up,3,643918b7df602a9f3f3f66d7,5,5,5,5,4,4,3,4,No,alone,1,Feb 23 20:21:24,2
true,c97dd3a8e09974b1,Instagram,true,2,4,3,Pop-Up,8,62da5ffdd666bd90db19b4e9,4,4,3,3,4,4,3,7,Yes,friends,2,Feb 25 16:31:36,2
true,c6fc54cbde698b6c,TikTok,true,-2,33,2,Vibration,1,6400d8e645e80091a53f9b21,4,5,5,4,5,2,2,2,No,alone,1,Mar 14 22:46:42,6
true,c24bf61f11f75646,TikTok,true,-3,247,1,Vibration,7,62fc25ef4ce0d3d169b7a120,5,5,5,5,5,5,1,2,No,alone,0,Feb 21 04:36:17,1
true,a9ae642fb280dd5d,,true,-3,315,1,SpotOverlay,6,5fc3d41149c0c8728f07b95b,5,5,5,5,5,4,1,7,Yes,alone,2,Mar 21 16:22:06,1
true,6ac766ec0787d32b,,false,1,3,1,Vibration,5,63d1957ba19644f6c749c001,4,5,4,1,2,2,3,1,Yes,alone,4,Mar 18 06:50:34,3
true,e30980d5ae93ac92,,true,-1,0,7,Pop-Up,7,67658ce91a0ea2195ae7e09d,4,4,3,4,4,4,7,7,No,alone,2,Mar 24 01:22:58,6
true,f9eaf6a6196690a2,YouTube,true,-2,14,6,Vibration,5,672ba4b271f34057eb25f408,1,4,2,2,2,5,5,5,No,friends,2,Mar 2 18:45:32,6
true,d55410e332005411,YouTube,false,-1,0,5,Pop-Up,3,6416533bd4ee6639c3df6040,4,4,4,4,4,3,2,6,Yes,friends,3,Mar 10 13:54:53,1
true,f9eaf6a6196690a2,,true,-1,8,6,Vibration,2,672ba4b271f34057eb25f408,2,4,2,2,2,4,6,6,No,alone,2,Mar 2 08:18:05,6
true,84d578de49e75bcc,Facebook,true,-3,41,4,SpotOverlay,4,5a6d5ae19d65ec00017e9bae,5,4,4,4,4,3,3,2,No,alone,1,Mar 21 21:33:56,3
