"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","pid","Impulsivity[Imp1]","Impulsivity[Imp2]","Impulsivity[Imp3]","Impulsivity[Imp4]","Impulsivity[Imp5]","Impulsivity[Imp6]","Impulsivity[Imp7]","Impulsivity[Imp8]","Impulsivity[Imp9]","Impulsivity[Imp10]","Impulsivity[Imp11]","Impulsivity[Imp12]","Impulsivity[Imp13]","Impulsivity[Imp14]","Impulsivity[Imp15]","Anxiety[Anx1]","Anxiety[Anx2]","Anxiety[Anx3]","Anxiety[Anx4]","Anxiety[Anx5]","SelfControl[SC1]","SelfControl[SC2]","SelfControl[SC3]","SelfControl[SC4]","SelfControl[SC5]","SelfControl[SC6]","SelfControl[SCATC]","SelfControl[SC7]","SelfControl[SC8]","SelfControl[SC9]","SelfControl[SC10]","SelfControl[SC11]","SelfControl[SC12]","SelfControl[SC13]","FOMO[Fomo1]","FOMO[Fomo2]","FOMO[Fomo3]","FOMO[Fomo4]","FOMO[Fomo5]","thx","ifyes","OtherIntervention","anleitungandroid","whyNotIntereseted","whyNotInstalled","ifno"
"14","2025-02-15 21:37:38","3","en","451838891","2025-02-15 21:27:57","2025-02-15 21:37:38","5fa9937973bf2419755be5c3","3 (often)","3 (often)","2 (occasionally)","3 (often)","3 (often)","4 (almost always)","3 (often)","4 (almost always)","3 (often)","2 (occasionally)","4 (almost always)","4 (almost always)","2 (occasionally)","3 (often)","3 (often)","1 (sometimes)","2 (often)","2 (often)","3 (almost always)","2 (often)","2","5 (very much)","4","4","5 (very much)","2","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","4","5 (totally agree)","5 (totally agree)","5 (totally agree)","4","4","Yes","Yes","No","Yes",,,""
"15","2025-02-15 21:51:35","3","en","1077985300","2025-02-15 21:46:05","2025-02-15 21:51:35","5f4cbdf9f599118d27c21442","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","3 (often)","3 (often)","3 (often)","1 (rarely/never)","2 (occasionally)","2 (often)","2 (often)","2 (often)","2 (often)","2 (often)","4","2","1 (not at all)","1 (not at all)","2","4","5 (very much)","2","4","3","3","5 (very much)","2","2","3","3","3","3","3","Yes","Yes","No","Yes",,,""
"17","2025-02-15 22:00:43","3","en","176075265","2025-02-15 21:53:20","2025-02-15 22:00:43","66732c63b0296c9c76296d18","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","2 (often)","2 (often)","2 (often)","2 (often)","2 (often)","4","1 (not at all)","2","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","3","4","1 (not at all)","3","5 (very much)","1 (not at all)","1 (not at all)","4","4","1 (totally disagree)","1 (totally disagree)","4","No","N/A","N/A","N/A","A bit complicated ",,""
"20","2025-02-15 22:32:17","3","en","673990970","2025-02-15 22:28:26","2025-02-15 22:32:17","644ee5a8f25289f7efacbef4","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","0 (almost never)","0 (almost never)","0 (almost never)","4","2","3","1 (not at all)","1 (not at all)","4","5 (very much)","3","3","1 (not at all)","3","2","1 (not at all)","1 (not at all)","3","3","2","1 (totally disagree)","1 (totally disagree)","No","N/A","N/A","N/A","not downloading ",,""
"25","2025-02-16 01:52:17","3","en","1785364550","2025-02-16 01:40:40","2025-02-16 01:52:17","57165ba7c5aca2000a8d32ca","4 (almost always)","4 (almost always)","3 (often)","3 (often)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (almost always)","3 (almost always)","2 (often)","2 (often)","2 (often)","3","4","4","3","4","5 (very much)","5 (very much)","4","4","4","5 (very much)","3","3","4","4","4","5 (totally agree)","3","4","Yes","Yes","No","Yes",,,""
"27","2025-02-16 10:03:03","3","en","1706751260","2025-02-16 09:47:22","2025-02-16 10:03:03","5bb7b83ab791890001f4fd90","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (often)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","5 (very much)","4","4","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","5 (very much)","1 (not at all)","1 (not at all)","1 (not at all)","3","3","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"30","2025-02-16 10:02:55","3","en","1779094721","2025-02-16 09:53:39","2025-02-16 10:02:55","61233706eb1ec697c18d5aef","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","3 (almost always)","2 (often)","2 (often)","2 (often)","2 (often)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","4","1 (not at all)","3","3","1 (not at all)","2","3","1 (totally disagree)","1 (totally disagree)","4","2","3","Yes","Yes","No","Yes",,,""
"31","2025-02-16 10:11:42","3","en","1226592188","2025-02-16 10:02:22","2025-02-16 10:11:42","66da1c527c804056b970b229","3 (often)","3 (often)","1 (rarely/never)","2 (occasionally)","3 (often)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","2 (often)","2 (often)","3 (almost always)","2 (often)","3 (almost always)","4","4","2","3","3","5 (very much)","5 (very much)","4","4","5 (very much)","3","5 (very much)","3","3","5 (totally agree)","4","2","4","5 (totally agree)","Yes","Yes","No","Yes",,,""
"32","2025-02-16 10:08:14","3","en","1356732724","2025-02-16 10:05:14","2025-02-16 10:08:14","67759a26b7a5424ec5d0c0a1","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","4 (almost always)","3 (often)","2 (occasionally)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","2 (often)","0 (almost never)","0 (almost never)","2","3","2","3","3","2","5 (very much)","3","3","3","2","5 (very much)","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","No","N/A","N/A","N/A","Downloading third-party files.",,""
"33","2025-02-16 10:23:43","3","en","818126201","2025-02-16 10:09:44","2025-02-16 10:23:43","673f6ffebce20832346325de","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","4 (almost always)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (often)","2 (often)","2 (often)","1 (sometimes)","1 (sometimes)","2","4","2","2","3","2","5 (very much)","4","2","2","1 (not at all)","3","2","2","2","2","4","3","4","Yes","Yes","No","Yes",,,""
"34","2025-02-16 10:15:42","3","en","236501250","2025-02-16 10:10:36","2025-02-16 10:15:42","5cfb6a6eeac4de0001c60f05","4 (almost always)","3 (often)","4 (almost always)","4 (almost always)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","2","5 (very much)","2","4","4","3","5 (very much)","5 (very much)","1 (not at all)","4","3","3","4","4","4","4","2","3","2","Yes","Yes","No","Yes",,,""
"36","2025-02-16 10:28:39","3","en","569426419","2025-02-16 10:19:32","2025-02-16 10:28:39","5f8cbc5c355ea745e6cef2ca","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","3 (often)","1 (rarely/never)","1 (rarely/never)","3 (often)","2 (occasionally)","2 (occasionally)","2 (often)","2 (often)","1 (sometimes)","1 (sometimes)","0 (almost never)","3","3","3","3","2","3","5 (very much)","3","3","3","2","3","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","3","3","2","Yes","Yes","No","Yes",,,""
"39","2025-02-16 10:47:25","3","en","305917238","2025-02-16 10:30:26","2025-02-16 10:47:25","63ea4b5592211a79471c9deb","3 (often)","3 (often)","3 (often)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","3 (often)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (often)","2 (often)","3 (almost always)","2 (often)","2 (often)","1 (not at all)","5 (very much)","4","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","4","2","5 (very much)","4","5 (totally agree)","5 (totally agree)","3","2","4","Yes","Yes","No","Yes",,,""
"40","2025-02-16 10:51:39","3","en","647893239","2025-02-16 10:35:26","2025-02-16 10:51:39","6765828609c515fd22880a3a","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","3 (often)","4 (almost always)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","2 (often)","2 (often)","3 (almost always)","1 (sometimes)","5 (very much)","3","2","1 (not at all)","3","3","5 (very much)","4","2","3","2","3","3","2","4","4","4","4","4","Yes","Yes","No","No",,"The initial settings are too complicated. Sorry.",""
"42","2025-02-16 10:53:26","3","en","1566109832","2025-02-16 10:42:30","2025-02-16 10:53:26","65a29d6b297bacfcc92dba8e","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","2 (occasionally)","2 (often)","2 (often)","2 (often)","2 (often)","2 (often)","2","3","3","2","2","4","5 (very much)","4","2","2","4","3","3","3","2","3","3","3","2","Yes","Yes","No","Yes",,,""
"43","2025-02-16 11:21:12","3","en","182681747","2025-02-16 10:58:09","2025-02-16 11:21:12","66744822576b11d40628191b","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","4 (almost always)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","3 (often)","4 (almost always)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","3 (almost always)","1 (sometimes)","0 (almost never)","1 (sometimes)","3 (almost always)","1 (not at all)","5 (very much)","3","1 (not at all)","3","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","3","2","3","5 (very much)","3","4","4","2","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"44","2025-02-16 11:46:10","3","en","1642851817","2025-02-16 11:34:10","2025-02-16 11:46:10","67768d5e8b0341abb0f7ef1f","2 (occasionally)","3 (often)","3 (often)","4 (almost always)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","4 (almost always)","1 (sometimes)","2 (often)","1 (sometimes)","3 (almost always)","2 (often)","4","2","5 (very much)","2","1 (not at all)","5 (very much)","5 (very much)","3","2","2","3","4","1 (not at all)","2","2","4","3","2","4","Yes","Yes","No","Yes",,,""
"45","2025-02-16 11:59:50","3","en","1882989034","2025-02-16 11:43:14","2025-02-16 11:59:50","66d1a7a177452f9dc664c908","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","4 (almost always)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","1 (sometimes)","0 (almost never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","3","4","4","4","2","4","5 (very much)","4","2","4","3","3","3","4","5 (totally agree)","5 (totally agree)","5 (totally agree)","4","5 (totally agree)","Yes","Yes","No","Yes",,,""
"47","2025-02-17 18:10:10","3","en","1924435393","2025-02-17 18:02:21","2025-02-17 18:10:10","5f44ed0e7f545e029071c4e8","3 (often)","3 (often)","4 (almost always)","4 (almost always)","2 (occasionally)","4 (almost always)","3 (often)","4 (almost always)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","2 (occasionally)","0 (almost never)","0 (almost never)","2 (often)","3 (almost always)","1 (sometimes)","2","5 (very much)","3","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","5 (very much)","1 (not at all)","4","2","3","4","5 (very much)","3","4","4","2","4","Yes","Yes","No","Yes",,,""
"48","2025-02-17 18:10:32","3","en","1988243284","2025-02-17 18:04:08","2025-02-17 18:10:32","60e67bc1585c7158f6f9116a","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","4 (almost always)","4 (almost always)","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","2 (often)","2","4","2","2","4","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","3","3","3","2","3","5 (totally agree)","5 (totally agree)","4","4","3","Yes","Yes","No","Yes",,,""
"49","2025-02-17 18:13:25","3","en","1604956840","2025-02-17 18:05:28","2025-02-17 18:13:25","5e388c2b5d3ba8069613476e","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","3","2","1 (not at all)","2","2","4","5 (very much)","2","3","1 (not at all)","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"50","2025-02-17 18:19:43","3","en","1658433333","2025-02-17 18:06:12","2025-02-17 18:19:43","5d5407dc922257000153657f","2 (occasionally)","1 (rarely/never)","3 (often)","3 (often)","1 (rarely/never)","3 (often)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2 (often)","2 (often)","2","4","3","4","4","3","5 (very much)","5 (very much)","1 (not at all)","2","3","3","2","3","4","3","3","3","5 (totally agree)","Yes","Yes","No","Yes",,,""
"51","2025-02-17 18:21:53","3","en","2052928714","2025-02-17 18:08:46","2025-02-17 18:21:53","660155969d2ce27d06a93ffd","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","4 (almost always)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","1 (sometimes)","2 (often)","2 (often)","1 (sometimes)","2 (often)","2","4","3","4","4","2","5 (very much)","4","1 (not at all)","3","3","3","4","2","4","4","4","3","4","Yes","Yes","No","Yes",,,""
"57","2025-02-17 18:21:54","3","en","171820290","2025-02-17 18:11:44","2025-02-17 18:21:54","6760697ad1a146910b667f42","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (often)","2 (often)","2 (often)","3 (almost always)","2 (often)","3","3","4","4","4","2","5 (very much)","4","1 (not at all)","2","4","3","2","2","5 (totally agree)","5 (totally agree)","3","2","5 (totally agree)","Yes","Yes","No","No",,"Phone permissions did not allow to download to phone ",""
"58","2025-02-17 18:25:58","3","en","355415569","2025-02-17 18:12:10","2025-02-17 18:25:58","5e9dd5a16af8f212466d212c","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","4 (almost always)","3 (often)","4 (almost always)","3 (often)","3 (often)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","0 (almost never)","1 (sometimes)","4","2","1 (not at all)","2","2","3","5 (very much)","3","2","2","1 (not at all)","4","1 (not at all)","1 (not at all)","2","2","3","1 (totally disagree)","3","Yes","Yes","No","Yes",,,""
"59","2025-02-17 18:20:43","3","en","1984493906","2025-02-17 18:12:13","2025-02-17 18:20:43","5fc6f4cff3df11159190cbef","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","4","2","2","1 (not at all)","3","3","5 (very much)","3","3","4","2","4","3","2","2","2","3","1 (totally disagree)","3","Yes","Yes","Yes","Yes",,,""
"60","2025-02-17 18:17:23","3","en","368071053","2025-02-17 18:13:14","2025-02-17 18:17:23","66c33cf5425d52a1afcc8263","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","4 (almost always)","4 (almost always)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","1 (sometimes)","1 (sometimes)","0 (almost never)","3","3","3","2","3","2","5 (very much)","4","2","3","1 (not at all)","4","3","2","2","2","3","2","4","No","N/A","N/A","N/A","I don't know if I can commit to the 7 days straight.",,""
"62","2025-02-17 18:16:56","3","en","775628213","2025-02-17 18:14:02","2025-02-17 18:16:56","5f5c153172bd1b1d6551a191","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","4 (almost always)","3 (often)","1 (rarely/never)","3 (often)","3 (often)","2 (often)","2 (often)","2 (often)","2 (often)","2 (often)","2","4","3","2","4","2","5 (very much)","4","2","4","4","3","4","4","5 (totally agree)","5 (totally agree)","5 (totally agree)","5 (totally agree)","5 (totally agree)","No","N/A","N/A","N/A","The tracking seems too invasive. ",,""
"63","2025-02-17 18:21:35","3","en","2497400","2025-02-17 18:14:21","2025-02-17 18:21:35","5b600b56ec2af5000128417c","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (often)","3 (almost always)","2 (often)","2 (often)","2 (often)","3","4","4","2","3","2","5 (very much)","4","2","4","4","3","3","3","4","4","3","2","3","Yes","Yes","No","No",,"Link saying site cannot be reached",""
"64","2025-02-17 18:27:18","3","en","1668520625","2025-02-17 18:14:29","2025-02-17 18:27:18","663d9f77c4622bd0ac33b269","2 (occasionally)","3 (often)","1 (rarely/never)","1 (rarely/never)","3 (often)","3 (often)","3 (often)","2 (occasionally)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","5 (very much)","3","1 (not at all)","2","2","2","5 (very much)","3","4","5 (very much)","2","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","3","Yes","Yes","No","Yes",,,""
