// Di 08.04.2025 15:30
Payment Overview:

Participants Who Completed the Study (sorted by days participated):
========================================================================================================================
Prolific ID               | Total Triggers  | Total Questionnaires | %      | Total Reward (£) | Days Participated | Days Since Start 
595a52b2e05ca8000133f5d0  | 515             | 6                    | 1.17%  | £3.00            | 6.04 | 37.0
612b285f53d29d3549618b96  | 3               | 0                    | 0.00%  | £0.00            | 6.04 | 19.0
651ac88823e71c05dbc1ff63  | 46              | 2                    | 4.35%  | £1.00            | 5.99 | 42.0
664f72c5d72f85c6cd81ae82  | 272             | 0                    | 0.00%  | £0.00            | 5.94 | 19.0
614af89a94339a92bf646754  | 43              | 0                    | 0.00%  | £0.00            | 5.94 | 26.0
6765ba55d69018eec3a06514  | 35              | 3                    | 8.57%  | £1.50            | 5.90 | 9.0
6784409c334eaf1d8e0dd1fb  | 90              | 3                    | 3.33%  | £1.50            | 5.88 | 20.0
63f93b47bb0c1a1aca131480  | 12              | 0                    | 0.00%  | £0.00            | 5.81 | 47.0
66c778d7415769449f19521a  | 520             | 0                    | 0.00%  | £0.00            | 5.57 | 41.0
63748732f140188d25f70dbf  | 154             | 1                    | 0.65%  | £0.50            | 4.95 | 43.0
5dc0e5d927d0520845f47856  | 485             | 14                   | 2.89%  | £7.00            | 4.52 | 4.0
675a35800dc96d8b29feb198  | 174             | 0                    | 0.00%  | £0.00            | 4.50 | 4.0
5dea9fb3cb53ca1cda9f6116  | 197             | 7                    | 3.55%  | £3.50            | 4.44 | 4.0
5ac60fe2a3ba7a0001b4ae6d  | 210             | 13                   | 6.19%  | £6.50            | 4.24 | 28.0
60738fbda3b86b009ad47e8c  | 132             | 0                    | 0.00%  | £0.00            | 4.24 | 4.0
67c1fd8fd3ef65aaad4ba892  | 236             | 3                    | 1.27%  | £1.50            | 4.12 | 19.0
60fce0fcf9abe7218c789734  | 88              | 6                    | 6.82%  | £3.00            | 4.04 | 4.0
6651e1661b8d1a6b23f4e4d1  | 439             | 2                    | 0.46%  | £1.00            | 3.85 | 25.0
663299ea88551960f4132bb7  | 125             | 5                    | 4.00%  | £2.50            | 3.81 | 8.0
6740c00ab3a14733dfd391b2  | 4               | 0                    | 0.00%  | £0.00            | 3.64 | 39.0
5be750e4af5ae80001f0ce07  | 15              | 0                    | 0.00%  | £0.00            | 3.36 | 4.0
https://app.prolific.com/submissions/67c20e4baf735e177f336a2c | 35              | 1                    | 2.86%  | £0.50            | 3.32 | 37.0
677c043053e1a3bb7a1982bd  | 220             | 0                    | 0.00%  | £0.00            | 3.27 | 34.0
6658b7f8aab263fcab6c8f97  | 134             | 1                    | 0.75%  | £0.50            | 3.11 | 38.0
6600a119385d8631c41cd795  | 56              | 3                    | 5.36%  | £1.50            | 3.10 | 20.0
67d01671bd666a9fb9c603fb  | 86              | 0                    | 0.00%  | £0.00            | 3.00 | 4.0
677b16c555e66b8ebeb5f41d  | 419             | 0                    | 0.00%  | £0.00            | 2.46 | 44.0
5e6b11a7704ee10c3d5e203a  | 119             | 0                    | 0.00%  | £0.00            | 2.24 | 25.0
5f32b7f2702b80025cb3ca31  | 210             | 1                    | 0.48%  | £0.50            | 2.20 | 38.0
607a7b7d300ce256f51706bd  | 83              | 1                    | 1.20%  | £0.50            | 2.16 | 29.0
6773d379776c921aa20c5d65  | 107             | 0                    | 0.00%  | £0.00            | 2.12 | 43.0
6744b7a697b6eff3de59a88e  | 174             | 3                    | 1.72%  | £1.50            | 2.11 | 43.0
6151556ef73ba765c7ff55fb  | 35              | 0                    | 0.00%  | £0.00            | 1.90 | 42.0
666382ae8e2b0242b661879a  | 15              | 1                    | 6.67%  | £0.50            | 1.88 | 27.0
5c49484a6d9ae80001a1aa72  | 64              | 3                    | 4.69%  | £1.50            | 1.84 | 2.0
60dd22f2f6aa769f57e2c55b  | 51              | 0                    | 0.00%  | £0.00            | 1.63 | 1.0
6658b258347b527af5f3ba36  | 335             | 1                    | 0.30%  | £0.50            | 1.59 | 7.0
66847cc7c67232fae11af5b3  | 68              | 1                    | 1.47%  | £0.50            | 1.48 | 47.0
5478e52cfdf99b5322cf7f7b  | 66              | 2                    | 3.03%  | £1.00            | 1.44 | 29.0
67629986c6e5e88e4bc23efb  | 219             | 0                    | 0.00%  | £0.00            | 1.37 | 26.0
6633fa4ebe0a692fc1a5f422  | 362             | 0                    | 0.00%  | £0.00            | 1.37 | 25.0
6761e961a019a707f32b9bb9  | 166             | 2                    | 1.20%  | £1.00            | 1.27 | 43.0
67bdc00c1e1046403c4b5d00  | 28              | 2                    | 7.14%  | £1.00            | 1.11 | 19.0
66187caf2a94f9051c85c431  | 1               | 0                    | 0.00%  | £0.00            | 1.01 | 42.0
60e67bc1585c7158f6f9116a  | 8               | 0                    | 0.00%  | £0.00            | 0.95 | N/A
62d7fef5538b81f205ba4656  | 6               | 0                    | 0.00%  | £0.00            | 0.94 | 27.0
6653501881b7b5eff113a16d  | 183             | 0                    | 0.00%  | £0.00            | 0.90 | 41.0
677d6540e5769779d2fb691e  | 4               | 0                    | 0.00%  | £0.00            | 0.86 | 7.0
67bb656dc1e9bf4830163699  | 9               | 0                    | 0.00%  | £0.00            | 0.79 | 19.0
59a9c0291b7a550001d6392e  | 204             | 0                    | 0.00%  | £0.00            | 0.79 | 29.0
5c67a79a2f6d5e000174ced0  | 11              | 0                    | 0.00%  | £0.00            | 0.70 | 11.0
63cedafa29d08471b828a96a  | 42              | 4                    | 9.52%  | £2.00            | 0.67 | 43.0
65c0e2c666436599bbc02dc8  | 86              | 0                    | 0.00%  | £0.00            | 0.61 | 8.0
5d6d729b200019c12498      | 6               | 0                    | 0.00%  | £0.00            | 0.56 | 27.0
6747a1d066cd71f10db36d9a  | 7               | 2                    | 28.57%  | £1.00            | 0.54 | 41.0
67157464ac9c6c542caac3c7  | 180             | 4                    | 2.22%  | £2.00            | 0.53 | 39.0
66af8c7213537c8f0265065b  | 7               | 0                    | 0.00%  | £0.00            | 0.51 | 27.0
64455cfdcc83f30266ad2345  | 11              | 0                    | 0.00%  | £0.00            | 0.50 | 11.0
5c5ca0ce4ee81200018eaf51  | 12              | 1                    | 8.33%  | £0.50            | 0.49 | 27.0
5ca53042aa2c820001fef20a  | 30              | 0                    | 0.00%  | £0.00            | 0.48 | 42.0
5ed9ee3afd7ffe59917d3dfa  | 16              | 0                    | 0.00%  | £0.00            | 0.46 | 11.0
62eba7852953fb874b43110a  | 26              | 0                    | 0.00%  | £0.00            | 0.45 | 29.0
5cbcd388b413150016a88e6a  | 48              | 0                    | 0.00%  | £0.00            | 0.42 | 11.0
5e63912d08c2ef10e6a85688  | 153             | 0                    | 0.00%  | £0.00            | 0.36 | 42.0
64f099c25c767cde5f8faa46  | 2               | 0                    | 0.00%  | £0.00            | 0.31 | 44.0
6426cfe964863ee2ff26642f  | 161             | 0                    | 0.00%  | £0.00            | 0.31 | 47.0
6664aff313672880c2b0ba59  | 19              | 0                    | 0.00%  | £0.00            | 0.14 | 11.0
67c099392316a1a59b517970  | 11              | 0                    | 0.00%  | £0.00            | 0.12 | 29.0
6760719d1b1c260c80c978a1  | 86              | 0                    | 0.00%  | £0.00            | 0.10 | 38.0
5e8f8ebc09b58f28c329da6f  | 1               | 0                    | 0.00%  | £0.00            | 0.10 | 47.0
675a42d99110f59947a4f393  | 6               | 0                    | 0.00%  | £0.00            | 0.08 | N/A
6548f960db60a00d76e92695  | 36              | 0                    | 0.00%  | £0.00            | 0.08 | 26.0
673b80fb1398fa8e31aff8b   | 1               | 0                    | 0.00%  | £0.00            | 0.06 | 2.0
66b1ae2bf1b4bbd5740d658a  | 11              | 0                    | 0.00%  | £0.00            | 0.05 | 18.0
672bf480b98fd6d326fd1f69  | 5               | 0                    | 0.00%  | £0.00            | 0.04 | 8.0
62a1fd297768ca1c93288d11  | 4               | 0                    | 0.00%  | £0.00            | 0.03 | 9.0
66315b2a254c047c548aae4f  | 6               | 0                    | 0.00%  | £0.00            | 0.02 | 11.0
66e1dafefc1b4494c8365ff4  | 10              | 0                    | 0.00%  | £0.00            | 0.02 | 42.0
testApk                   | 1               | 0                    | 0.00%  | £0.00            | 0.01 | 40.0
66e5bcf611d0bc991efda653  | 8               | 0                    | 0.00%  | £0.00            | 0.01 | 26.0
653bee4e20de33bbd08c46c5  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 42.0
5a68ed0013898300014ba5ec  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 38.0
677304a87eba207809e27c04  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 8.0
676053c5a079367f9c0b427f  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 39.0
5c81582c4c1a61000155584f  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 11.0
txet4321                  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 29.0
671164bf955000afe7f1b681  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 25.0
5c000ea973ca150001c3a65f  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 2.0
634d7398662c6fe8321aa554  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 42.0
67103fab90f232f5d3e1e2ae  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 4.0
591d369e88bbb500013a8517  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 28.0
665585d3c2b72eebdd366c8e  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 1.0
676eec2c34757c5868cd0927  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 27.0
675c96124915bd60cd4720e3  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 25.0
60e05286953f8b51d4f6661c  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 43.0
5a9fa90f873cda00010d29d8  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | nan
5e6faa06b59a32573bcde7f1  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 29.0
604f94204496533d323b7d8e  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 29.0
67855b8dc74917888b600462  | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 41.0

Total Costs for Participants Who Did Not Complete: £596.50
Total Participants Who Did Not Complete: 108
